16-12-2021 21:13:07,1541,20
16-12-2021 21:28:07,1452,19
16-12-2021 21:43:07,1396,19
16-12-2021 21:58:07,1350,19
16-12-2021 22:13:07,1228,19
16-12-2021 22:28:07,1189,21
16-12-2021 22:43:07,1141,21
16-12-2021 22:58:07,1092,20
16-12-2021 23:13:08,1102,20
16-12-2021 23:28:08,1105,20
16-12-2021 23:43:08,1134,19
16-12-2021 23:58:08,1145,19
17-12-2021 00:13:08,1157,19
17-12-2021 00:28:08,1111,19
17-12-2021 00:43:08,1131,19
17-12-2021 00:58:08,1151,19
17-12-2021 01:13:08,1151,19
17-12-2021 01:28:08,1193,18
17-12-2021 01:43:09,1184,18
17-12-2021 01:58:09,1157,18
17-12-2021 02:13:09,1076,18
17-12-2021 02:28:09,1054,18
17-12-2021 02:43:09,1031,18
17-12-2021 02:58:09,963,18
17-12-2021 03:13:09,937,18
17-12-2021 03:28:09,918,18
17-12-2021 03:43:09,893,18
17-12-2021 03:58:09,870,18
17-12-2021 04:13:09,862,18
17-12-2021 04:28:09,854,18
17-12-2021 04:43:09,845,18
17-12-2021 04:58:10,831,17
17-12-2021 05:13:10,813,17
17-12-2021 05:28:10,812,18
17-12-2021 05:43:10,793,17
17-12-2021 05:58:10,783,17
17-12-2021 06:13:10,769,17
17-12-2021 06:28:10,759,17
17-12-2021 06:43:10,740,17
17-12-2021 06:58:10,739,18
17-12-2021 07:13:10,735,19
17-12-2021 07:28:10,712,21
17-12-2021 07:43:10,714,21
17-12-2021 07:58:11,711,20
17-12-2021 08:13:11,729,20
17-12-2021 08:28:11,743,19
17-12-2021 08:43:11,754,19
17-12-2021 08:58:11,732,19
17-12-2021 09:13:11,742,19
17-12-2021 09:28:11,724,19
17-12-2021 09:43:11,753,18
17-12-2021 09:58:11,740,18
17-12-2021 10:13:11,718,18
17-12-2021 10:28:12,711,18
17-12-2021 10:43:12,693,18
17-12-2021 10:58:12,679,18
17-12-2021 11:13:12,684,18
17-12-2021 11:28:12,677,18
17-12-2021 11:43:12,661,18
17-12-2021 11:58:12,728,18
17-12-2021 12:13:12,705,18
17-12-2021 12:28:12,694,18
17-12-2021 12:43:12,737,18
17-12-2021 12:58:13,793,17
17-12-2021 13:13:13,800,18
17-12-2021 13:28:13,758,17
17-12-2021 13:43:13,750,17
17-12-2021 13:58:13,749,17
17-12-2021 14:13:13,738,17
17-12-2021 14:28:13,724,17
17-12-2021 14:43:13,716,17
17-12-2021 14:58:13,709,17
17-12-2021 15:13:14,698,17
17-12-2021 15:28:14,699,17
17-12-2021 15:43:14,690,17
17-12-2021 15:58:14,678,17
